committee	sector	donations
House Administration (H)	Ideological/Single-Issue	1170750
House Administration (H)	Labor	654550
House Administration (H)	Lawyers & Lobbyists	901946
House Administration (H)	Misc Business	949156
House Administration (H)	Other	655327
House Administration (H)	Transportation	539244
Indian Affairs (S)	Agribusiness	1524159
Indian Affairs (S)	Communications/Electronics	1778705
Indian Affairs (S)	Construction	1146746
Indian Affairs (S)	Defense	859844
Indian Affairs (S)	Energy & Natural Resources	2956486
Indian Affairs (S)	Finance, Insurance & Real Estate	7416998
Indian Affairs (S)	Health	1983527
Indian Affairs (S)	Ideological/Single-Issue	3510598
Indian Affairs (S)	Labor	572501
Indian Affairs (S)	Lawyers & Lobbyists	2797112
Indian Affairs (S)	Misc Business	3289159
Indian Affairs (S)	Other	3217227
Indian Affairs (S)	Transportation	1616321
Judiciary (H)	Agribusiness	1438914
Judiciary (H)	Communications/Electronics	4637039
Judiciary (H)	Construction	1473544
Judiciary (H)	Defense	939069
Judiciary (H)	Energy & Natural Resources	1615874
Judiciary (H)	Finance, Insurance & Real Estate	6894018
Judiciary (H)	Health	2574669
Judiciary (H)	Ideological/Single-Issue	4428248
Judiciary (H)	Labor	2184675
Judiciary (H)	Lawyers & Lobbyists	3364378
Judiciary (H)	Misc Business	4295109
Judiciary (H)	Other	3745148
Judiciary (H)	Transportation	1774313
Judiciary (S)	Agribusiness	2843398
Judiciary (S)	Communications/Electronics	5239430
Judiciary (S)	Construction	3182580
Judiciary (S)	Defense	1007823
Judiciary (S)	Energy & Natural Resources	2777050
Judiciary (S)	Finance, Insurance & Real Estate	16991881
Judiciary (S)	Health	6649154
Judiciary (S)	Ideological/Single-Issue	8691682
Judiciary (S)	Labor	783296
Judiciary (S)	Lawyers & Lobbyists	8204652
Judiciary (S)	Misc Business	7171794
Judiciary (S)	Other	20170652
Judiciary (S)	Transportation	1912442
Natural Resources (H)	Agribusiness	3062151
Natural Resources (H)	Communications/Electronics	1350344
Natural Resources (H)	Construction	1839729
Natural Resources (H)	Defense	1375416
Natural Resources (H)	Energy & Natural Resources	2690461
Natural Resources (H)	Finance, Insurance & Real Estate	4438684
Natural Resources (H)	Health	2979726
Natural Resources (H)	Ideological/Single-Issue	5808501
Natural Resources (H)	Labor	2764282
Natural Resources (H)	Lawyers & Lobbyists	2546947
Natural Resources (H)	Misc Business	3703837
Natural Resources (H)	Other	3380410
Natural Resources (H)	Transportation	2113207
Oversight and Government Reform (H)	Agribusiness	1727697
Oversight and Government Reform (H)	Communications/Electronics	2746981
Oversight and Government Reform (H)	Construction	2069497
Oversight and Government Reform (H)	Defense	1044457
Oversight and Government Reform (H)	Energy & Natural Resources	1983202
Oversight and Government Reform (H)	Finance, Insurance & Real Estate	8871247
Oversight and Government Reform (H)	Health	3918147
Oversight and Government Reform (H)	Ideological/Single-Issue	8529011
Oversight and Government Reform (H)	Labor	3711964
Oversight and Government Reform (H)	Lawyers & Lobbyists	4178535
Oversight and Government Reform (H)	Misc Business	4807900
Oversight and Government Reform (H)	Other	5415362
Oversight and Government Reform (H)	Transportation	2200150
Rules (H)	Agribusiness	509964
Rules (H)	Communications/Electronics	704078
Rules (H)	Construction	467108
Rules (H)	Defense	330125
Rules (H)	Energy & Natural Resources	685685
Rules (H)	Finance, Insurance & Real Estate	3169041
Rules (H)	Health	1785512
Rules (H)	Ideological/Single-Issue	945200
Rules (H)	Labor	648750
Rules (H)	Lawyers & Lobbyists	1014841
Rules (H)	Misc Business	1573132
Rules (H)	Other	990694
Rules (H)	Transportation	649936
Rules and Administration (S)	Agribusiness	3310167
Rules and Administration (S)	Communications/Electronics	4436239
Rules and Administration (S)	Construction	3158524
Rules and Administration (S)	Defense	1237394
Rules and Administration (S)	Energy & Natural Resources	3059942
Rules and Administration (S)	Finance, Insurance & Real Estate	16243646
Rules and Administration (S)	Health	6216572
Rules and Administration (S)	Ideological/Single-Issue	7434926
Rules and Administration (S)	Labor	629516
Rules and Administration (S)	Lawyers & Lobbyists	6502027
Rules and Administration (S)	Misc Business	6720557
Rules and Administration (S)	Other	18610351
Rules and Administration (S)	Transportation	2297445
Science (H)	Agribusiness	1961390
Science (H)	Communications/Electronics	2465796
Science (H)	Construction	1657541
Science (H)	Defense	1408553
Science (H)	Energy & Natural Resources	1750539
Science (H)	Finance, Insurance & Real Estate	6803328
Science (H)	Health	2978765
Science (H)	Ideological/Single-Issue	5833406
Science (H)	Labor	1844868
Science (H)	Lawyers & Lobbyists	2847773
Science (H)	Misc Business	3586785
Science (H)	Other	3740813
Science (H)	Transportation	2000228
Small Business (H)	Agribusiness	1117623
Small Business (H)	Communications/Electronics	884117
Small Business (H)	Construction	1152255
Small Business (H)	Defense	303850
Small Business (H)	Energy & Natural Resources	1058345
Small Business (H)	Finance, Insurance & Real Estate	4607450
Small Business (H)	Health	1062769
Small Business (H)	Ideological/Single-Issue	3645500
Small Business (H)	Labor	1022625
Small Business (H)	Lawyers & Lobbyists	1074374
Small Business (H)	Misc Business	1993529
Small Business (H)	Other	1495357
Small Business (H)	Transportation	1110787
Small Business and Entrepreneurship (S)	Agribusiness	2042692
Small Business and Entrepreneurship (S)	Communications/Electronics	2935215
Small Business and Entrepreneurship (S)	Construction	2511975
Small Business and Entrepreneurship (S)	Defense	717603
Small Business and Entrepreneurship (S)	Energy & Natural Resources	2463420
Small Business and Entrepreneurship (S)	Finance, Insurance & Real Estate	16021909
Small Business and Entrepreneurship (S)	Health	4585342
Small Business and Entrepreneurship (S)	Ideological/Single-Issue	6195698
Small Business and Entrepreneurship (S)	Labor	211435
Small Business and Entrepreneurship (S)	Lawyers & Lobbyists	5135379
Small Business and Entrepreneurship (S)	Misc Business	6146854
Small Business and Entrepreneurship (S)	Other	14763768
Small Business and Entrepreneurship (S)	Transportation	2321542
Transportation and Infrastructure (H)	Agribusiness	3925131
Transportation and Infrastructure (H)	Communications/Electronics	3278623
Transportation and Infrastructure (H)	Construction	4543491
Transportation and Infrastructure (H)	Defense	1092380
Transportation and Infrastructure (H)	Energy & Natural Resources	3057457
Transportation and Infrastructure (H)	Finance, Insurance & Real Estate	11006734
Transportation and Infrastructure (H)	Health	4570989
Transportation and Infrastructure (H)	Ideological/Single-Issue	12864087
Transportation and Infrastructure (H)	Labor	6602427
Transportation and Infrastructure (H)	Lawyers & Lobbyists	5667310
Transportation and Infrastructure (H)	Misc Business	7077784
Transportation and Infrastructure (H)	Other	5695609
Transportation and Infrastructure (H)	Transportation	7338371
Veterans' Affairs (H)	Agribusiness	1050437
Veterans' Affairs (H)	Communications/Electronics	1104252
Veterans' Affairs (H)	Construction	871256
Veterans' Affairs (H)	Defense	613957
Veterans' Affairs (H)	Energy & Natural Resources	940281
Veterans' Affairs (H)	Finance, Insurance & Real Estate	4708713
Veterans' Affairs (H)	Health	2986181
Veterans' Affairs (H)	Ideological/Single-Issue	5282601
Veterans' Affairs (H)	Labor	1616619
Veterans' Affairs (H)	Lawyers & Lobbyists	1563389
Veterans' Affairs (H)	Misc Business	2534659
Veterans' Affairs (H)	Other	2888838
Veterans' Affairs (H)	Transportation	1048008
Veterans' Affairs (S)	Agribusiness	2576912
Veterans' Affairs (S)	Communications/Electronics	8183809
Veterans' Affairs (S)	Construction	2632527
Veterans' Affairs (S)	Defense	1027959
Veterans' Affairs (S)	Energy & Natural Resources	1448935
Veterans' Affairs (S)	Finance, Insurance & Real Estate	10337708
Veterans' Affairs (S)	Health	7906369
Veterans' Affairs (S)	Ideological/Single-Issue	25669797
Veterans' Affairs (S)	Labor	932953
Veterans' Affairs (S)	Lawyers & Lobbyists	6240228
Veterans' Affairs (S)	Misc Business	7534429
Veterans' Affairs (S)	Other	16356788
Veterans' Affairs (S)	Transportation	2386496
Ways and Means (H)	Agribusiness	3030513
Ways and Means (H)	Communications/Electronics	3209041
Ways and Means (H)	Construction	3300494
Ways and Means (H)	Defense	1403035
Ways and Means (H)	Energy & Natural Resources	3634430
Ways and Means (H)	Finance, Insurance & Real Estate	18602338
Ways and Means (H)	Health	11599495
Ways and Means (H)	Ideological/Single-Issue	4360679
Ways and Means (H)	Labor	2542884
Ways and Means (H)	Lawyers & Lobbyists	5143023
Ways and Means (H)	Misc Business	8476035
Ways and Means (H)	Other	3818562
Ways and Means (H)	Transportation	3099863
