committee	committee_name	industry	industry_name	sector	donations
HAGR	Agriculture (H)	N07	Casinos/Gambling	Misc Business	684813
HAGR	Agriculture (H)	H01	Health Professionals	Health	2200073
HAGR	Agriculture (H)	H02	Hospitals/Nursing Homes	Health	673620
HAGR	Agriculture (H)	H03	Health Services/HMOs	Health	397527
HAGR	Agriculture (H)	H04	Pharmaceuticals/Health Products	Health	654207
HAGR	Agriculture (H)	W04	Education	Other	781514
HAGR	Agriculture (H)	Q01	Republican/Conservative	Ideological/Single-Issue	338187
HAGR	Agriculture (H)	Q02	Democratic/Liberal	Ideological/Single-Issue	1968280
HAGR	Agriculture (H)	Q03	Leadership PACs	Ideological/Single-Issue	3374770
HAGR	Agriculture (H)	Q04	Foreign & Defense Policy	Ideological/Single-Issue	136316
HAGR	Agriculture (H)	Q05	Pro-Israel	Ideological/Single-Issue	565488
HAGR	Agriculture (H)	Q13	Gun Rights	Ideological/Single-Issue	242832
HAGR	Agriculture (H)	Q09	Human Rights	Ideological/Single-Issue	518210
HAGR	Agriculture (H)	Q14	Abortion Policy/Anti-Abortion	Ideological/Single-Issue	23750
HAGR	Agriculture (H)	Q15	Abortion Policy/Pro-Abortion Rights	Ideological/Single-Issue	202268
HAGR	Agriculture (H)	Q08	Women's Issues	Ideological/Single-Issue	1070835
HAGR	Agriculture (H)	Q11	Environment	Ideological/Single-Issue	222196
HAGR	Agriculture (H)	K01	Lawyers/Law Firms	Lawyers & Lobbyists	2967567
HAGR	Agriculture (H)	K02	Lobbyists	Lawyers & Lobbyists	883977
HAGR	Agriculture (H)	P05	Misc Unions	Labor	300403
HAGR	Agriculture (H)	P04	Public Sector Unions	Labor	987337
HAGR	Agriculture (H)	P01	Building Trade Unions	Labor	921000
HAGR	Agriculture (H)	P02	Industrial Unions	Labor	608862
HAGR	Agriculture (H)	P03	Transportation Unions	Labor	894316
HAGR	Agriculture (H)	N15	Misc Manufacturing & Distributing	Misc Business	717632
HAGR	Agriculture (H)	N13	Chemical & Related Manufacturing	Misc Business	258088
HAGR	Agriculture (H)	N14	Steel Production	Misc Business	98224
HAGR	Agriculture (H)	M01	Air Transport	Transportation	623817
HAGR	Agriculture (H)	M02	Automotive	Transportation	737892
HAGR	Agriculture (H)	M03	Trucking	Transportation	404594
HAGR	Agriculture (H)	M04	Railroads	Transportation	635687
HAGR	Agriculture (H)	M05	Sea Transport	Transportation	119509
HAGR	Agriculture (H)	N08	Lodging/Tourism	Misc Business	147570
HAGR	Agriculture (H)	W06	Retired	Other	3438035
HAGR	Agriculture (H)	W03	Civil Servants/Public Officials	Other	310107
HAGR	Agriculture (H)	W02	Non-Profit Institutions	Other	212027
HAGR	Agriculture (H)	W05	Clergy & Religious Organizations	Other	53512
HAGR	Agriculture (H)	Q16	Candidate Committees	Ideological/Single-Issue	1075517
HAGR	Agriculture (H)	Q12	Gun Control	Ideological/Single-Issue	4774
HAGR	Agriculture (H)	N16	Textiles	Misc Business	47282
HAPP	Appropriations (H)	A01	Crop Production & Basic Processing	Agribusiness	1302906
HAPP	Appropriations (H)	A02	Tobacco	Agribusiness	283288
HAPP	Appropriations (H)	A04	Dairy	Agribusiness	259330
HAPP	Appropriations (H)	A05	Poultry & Eggs	Agribusiness	173450
HAPP	Appropriations (H)	A06	Livestock	Agribusiness	306323
HAPP	Appropriations (H)	A07	Agricultural Services/Products	Agribusiness	719330
HAPP	Appropriations (H)	A10	Forestry & Forest Products	Agribusiness	329990
HAPP	Appropriations (H)	C01	General Contractors	Construction	711407
HAPP	Appropriations (H)	C02	Home Builders	Construction	364583
HAPP	Appropriations (H)	C03	Special Trade Contractors	Construction	255597
HAPP	Appropriations (H)	C04	Construction Services	Construction	689170
HAPP	Appropriations (H)	C05	Building Materials & Equipment	Construction	560100
HAPP	Appropriations (H)	B01	Printing & Publishing	Communications/Electronics	172241
HAPP	Appropriations (H)	B02	TV/Movies/Music	Communications/Electronics	336224
HAPP	Appropriations (H)	B09	Telecom Services	Communications/Electronics	592075
HAPP	Appropriations (H)	B08	Telephone Utilities	Communications/Electronics	439031
HAPP	Appropriations (H)	B12	Electronics Mfg & Equip	Communications/Electronics	677794
HAPP	Appropriations (H)	B13	Internet	Communications/Electronics	196039
HAPP	Appropriations (H)	D03	Misc Defense	Defense	714879
HAPP	Appropriations (H)	D01	Defense Aerospace	Defense	1796630
HAPP	Appropriations (H)	D02	Defense Electronics	Defense	1126400
HAPP	Appropriations (H)	E01	Oil & Gas	Energy & Natural Resources	1240545
HAPP	Appropriations (H)	E04	Mining	Energy & Natural Resources	280725
HAPP	Appropriations (H)	E08	Electric Utilities	Energy & Natural Resources	1275781
HAPP	Appropriations (H)	E10	Waste Management	Energy & Natural Resources	75086
HAPP	Appropriations (H)	F13	Misc Finance	Finance, Insurance & Real Estate	563305
HAPP	Appropriations (H)	F03	Commercial Banks	Finance, Insurance & Real Estate	1189477
HAPP	Appropriations (H)	F04	Savings & Loans	Finance, Insurance & Real Estate	24300
HAPP	Appropriations (H)	F05	Credit Unions	Finance, Insurance & Real Estate	238487
HAPP	Appropriations (H)	F06	Finance/Credit Companies	Finance, Insurance & Real Estate	369700
HAPP	Appropriations (H)	F07	Securities & Investment	Finance, Insurance & Real Estate	1782999
HAPP	Appropriations (H)	F09	Insurance	Finance, Insurance & Real Estate	1557117
HAPP	Appropriations (H)	F10	Real Estate	Finance, Insurance & Real Estate	2828928
HAPP	Appropriations (H)	F11	Accountants	Finance, Insurance & Real Estate	826760
HAPP	Appropriations (H)	N00	Business Associations	Misc Business	175957
HAPP	Appropriations (H)	A09	Food Processing & Sales	Agribusiness	578082
HAPP	Appropriations (H)	N01	Food & Beverage	Misc Business	634792
HAPP	Appropriations (H)	N02	Beer, Wine & Liquor	Misc Business	831362
HAPP	Appropriations (H)	N03	Retail Sales	Misc Business	709466
HAPP	Appropriations (H)	N04	Misc Services	Misc Business	172040
HAPP	Appropriations (H)	N05	Business Services	Misc Business	778390
HAPP	Appropriations (H)	N06	Recreation/Live Entertainment	Misc Business	147162
HAPP	Appropriations (H)	N07	Casinos/Gambling	Misc Business	762750
HAPP	Appropriations (H)	H01	Health Professionals	Health	2590247
HAPP	Appropriations (H)	H02	Hospitals/Nursing Homes	Health	587602
HAPP	Appropriations (H)	H03	Health Services/HMOs	Health	390667
HAPP	Appropriations (H)	H04	Pharmaceuticals/Health Products	Health	1064585
HAPP	Appropriations (H)	W04	Education	Other	555807
HAPP	Appropriations (H)	Q01	Republican/Conservative	Ideological/Single-Issue	410106
HAPP	Appropriations (H)	Q02	Democratic/Liberal	Ideological/Single-Issue	403935
HAPP	Appropriations (H)	Q03	Leadership PACs	Ideological/Single-Issue	2027552
HAPP	Appropriations (H)	Q04	Foreign & Defense Policy	Ideological/Single-Issue	131950
HAPP	Appropriations (H)	Q05	Pro-Israel	Ideological/Single-Issue	484680
HAPP	Appropriations (H)	Q13	Gun Rights	Ideological/Single-Issue	363127
HAPP	Appropriations (H)	Q09	Human Rights	Ideological/Single-Issue	338691
HAPP	Appropriations (H)	Q14	Abortion Policy/Anti-Abortion	Ideological/Single-Issue	25917
HAPP	Appropriations (H)	Q15	Abortion Policy/Pro-Abortion Rights	Ideological/Single-Issue	72122
HAPP	Appropriations (H)	Q08	Women's Issues	Ideological/Single-Issue	144634
HAPP	Appropriations (H)	Q11	Environment	Ideological/Single-Issue	173758
HAPP	Appropriations (H)	K01	Lawyers/Law Firms	Lawyers & Lobbyists	2570005
HAPP	Appropriations (H)	K02	Lobbyists	Lawyers & Lobbyists	1614730
HAPP	Appropriations (H)	P05	Misc Unions	Labor	280965
HAPP	Appropriations (H)	P04	Public Sector Unions	Labor	1047405
HAPP	Appropriations (H)	P01	Building Trade Unions	Labor	721418
HAPP	Appropriations (H)	P02	Industrial Unions	Labor	567875
HAPP	Appropriations (H)	P03	Transportation Unions	Labor	1079642
HAPP	Appropriations (H)	N15	Misc Manufacturing & Distributing	Misc Business	1296500
HAPP	Appropriations (H)	N13	Chemical & Related Manufacturing	Misc Business	497505
HAPP	Appropriations (H)	N14	Steel Production	Misc Business	122620
HAPP	Appropriations (H)	M01	Air Transport	Transportation	1036425
HAPP	Appropriations (H)	M02	Automotive	Transportation	836175
HAPP	Appropriations (H)	M03	Trucking	Transportation	431686
HAPP	Appropriations (H)	M04	Railroads	Transportation	656849
HAPP	Appropriations (H)	M05	Sea Transport	Transportation	171134
HAPP	Appropriations (H)	N08	Lodging/Tourism	Misc Business	327494
HAPP	Appropriations (H)	W06	Retired	Other	2772406
