committee_name	sect_ind	donations
Agriculture, Nutrition and Forestry (S)	Misc Business - Steel Production	118453
Agriculture, Nutrition and Forestry (S)	Misc Business - Textiles	21050
Agriculture, Nutrition and Forestry (S)	Other - Civil Servants/Public Officials	325949
Agriculture, Nutrition and Forestry (S)	Other - Clergy & Religious Organizations	29478
Agriculture, Nutrition and Forestry (S)	Other - Education	781611
Agriculture, Nutrition and Forestry (S)	Other - Non-Profit Institutions	471888
Agriculture, Nutrition and Forestry (S)	Other - Retired	3458992
Agriculture, Nutrition and Forestry (S)	Transportation - Air Transport	503555
Agriculture, Nutrition and Forestry (S)	Transportation - Automotive	409816
Agriculture, Nutrition and Forestry (S)	Transportation - Railroads	267339
Agriculture, Nutrition and Forestry (S)	Transportation - Sea Transport	163350
Agriculture, Nutrition and Forestry (S)	Transportation - Trucking	239375
Appropriations (H)	Agribusiness - Agricultural Services/Products	719330
Appropriations (H)	Agribusiness - Crop Production & Basic Processing	1302906
Appropriations (H)	Agribusiness - Dairy	259330
Appropriations (H)	Agribusiness - Food Processing & Sales	578082
Appropriations (H)	Agribusiness - Forestry & Forest Products	329990
Appropriations (H)	Agribusiness - Livestock	306323
Appropriations (H)	Agribusiness - Poultry & Eggs	173450
Appropriations (H)	Agribusiness - Tobacco	283288
Appropriations (H)	Communications/Electronics - Electronics Mfg & Equip	677794
Appropriations (H)	Communications/Electronics - Internet	196039
Appropriations (H)	Communications/Electronics - Printing & Publishing	172241
Appropriations (H)	Communications/Electronics - TV/Movies/Music	336224
Appropriations (H)	Communications/Electronics - Telecom Services	592075
Appropriations (H)	Communications/Electronics - Telephone Utilities	439031
Appropriations (H)	Construction - Building Materials & Equipment	560100
Appropriations (H)	Construction - Construction Services	689170
Appropriations (H)	Construction - General Contractors	711407
Appropriations (H)	Construction - Home Builders	364583
Appropriations (H)	Construction - Special Trade Contractors	255597
Appropriations (H)	Defense - Defense Aerospace	1796630
Appropriations (H)	Defense - Defense Electronics	1126400
Appropriations (H)	Defense - Misc Defense	714879
Appropriations (H)	Energy & Natural Resources - Electric Utilities	1275781
Appropriations (H)	Energy & Natural Resources - Mining	280725
Appropriations (H)	Energy & Natural Resources - Oil & Gas	1240545
Appropriations (H)	Energy & Natural Resources - Waste Management	75086
Appropriations (H)	Finance, Insurance & Real Estate - Accountants	826760
Appropriations (H)	Finance, Insurance & Real Estate - Commercial Banks	1189477
Appropriations (H)	Finance, Insurance & Real Estate - Credit Unions	238487
Appropriations (H)	Finance, Insurance & Real Estate - Finance/Credit Companies	369700
Appropriations (H)	Finance, Insurance & Real Estate - Insurance	1557117
Appropriations (H)	Finance, Insurance & Real Estate - Misc Finance	563305
Appropriations (H)	Finance, Insurance & Real Estate - Real Estate	2828928
Appropriations (H)	Finance, Insurance & Real Estate - Savings & Loans	24300
Appropriations (H)	Finance, Insurance & Real Estate - Securities & Investment	1782999
Appropriations (H)	Health - Health Professionals	2590247
Appropriations (H)	Health - Health Services/HMOs	390667
Appropriations (H)	Health - Hospitals/Nursing Homes	587602
Appropriations (H)	Health - Pharmaceuticals/Health Products	1064585
Appropriations (H)	Ideological/Single-Issue - Abortion Policy/Anti-Abortion	25917
Appropriations (H)	Ideological/Single-Issue - Abortion Policy/Pro-Abortion Rights	72122
Appropriations (H)	Ideological/Single-Issue - Candidate Committees	549096
Appropriations (H)	Ideological/Single-Issue - Democratic/Liberal	403935
Appropriations (H)	Ideological/Single-Issue - Environment	173758
Appropriations (H)	Ideological/Single-Issue - Foreign & Defense Policy	131950
Appropriations (H)	Ideological/Single-Issue - Gun Control	1382
Appropriations (H)	Ideological/Single-Issue - Gun Rights	363127
Appropriations (H)	Ideological/Single-Issue - Human Rights	338691
Appropriations (H)	Ideological/Single-Issue - Leadership PACs	2027552
Appropriations (H)	Ideological/Single-Issue - Pro-Israel	484680
Appropriations (H)	Ideological/Single-Issue - Republican/Conservative	410106
Appropriations (H)	Ideological/Single-Issue - Women's Issues	144634
Appropriations (H)	Labor - Building Trade Unions	721418
Appropriations (H)	Labor - Industrial Unions	567875
Appropriations (H)	Labor - Misc Unions	280965
Appropriations (H)	Labor - Public Sector Unions	1047405
Appropriations (H)	Labor - Transportation Unions	1079642
Appropriations (H)	Lawyers & Lobbyists - Lawyers/Law Firms	2570005
Appropriations (H)	Lawyers & Lobbyists - Lobbyists	1614730
