committee	industry	donations
HJUD	Q03	1310752
HJUD	Q04	64465
HJUD	Q05	459119
HJUD	Q13	215532
HJUD	Q09	203285
HJUD	Q14	34864
HJUD	Q15	74308
HJUD	Q08	14854
HJUD	Q11	118100
HJUD	K01	2556620
HJUD	K02	807758
HJUD	P05	335350
HJUD	P04	476550
HJUD	P01	492000
HJUD	P02	418525
HJUD	P03	462250
HJUD	N15	752455
HJUD	N13	222635
HJUD	N14	31840
HJUD	M01	441769
HJUD	M02	727475
HJUD	M03	106640
HJUD	M04	406549
HJUD	M05	91880
HJUD	N08	296984
HJUD	W06	3059532
HJUD	W03	170714
HJUD	W02	172790
HJUD	W05	22395
HJUD	Q16	381612
HJUD	Q12	0
HJUD	N16	42475
HRES	A01	1213237
HRES	A02	59946
HRES	A04	212342
HRES	A05	97435
HRES	A06	280052
HRES	A07	443999
HRES	A10	472299
HRES	C01	556868
HRES	C02	252240
HRES	C03	198549
HRES	C04	459762
HRES	C05	372310
HRES	B01	77627
HRES	B02	186075
HRES	B09	364005
HRES	B08	326395
HRES	B12	306806
HRES	B13	89436
HRES	D03	296200
HRES	D01	651391
HRES	D02	427825
HRES	E01	1689415
HRES	E04	280076
HRES	E08	686416
HRES	E10	34554
HRES	F13	361134
HRES	F03	430644
HRES	F04	7750
HRES	F05	140250
HRES	F06	91913
HRES	F07	643186
HRES	F09	896862
HRES	F10	1578447
HRES	F11	288498
HRES	N00	71350
HRES	A09	282841
HRES	N01	471139
HRES	N02	477616
HRES	N03	402421
HRES	N04	74988
HRES	N05	413677
HRES	N06	68475
HRES	N07	992325
HRES	H01	1772825
HRES	H02	484491
HRES	H03	288994
HRES	H04	433416
HRES	W04	288541
HRES	Q01	1454605
HRES	Q02	289873
HRES	Q03	2248078
HRES	Q04	62850
HRES	Q05	315425
HRES	Q13	229516
HRES	Q09	277803
HRES	Q14	34000
HRES	Q15	35760
HRES	Q08	59140
HRES	Q11	206517
HRES	K01	1882334
HRES	K02	664613
HRES	P05	220000
HRES	P04	693307
HRES	P01	624475
HRES	P02	431000
HRES	P03	795500
HRES	N15	298270
HRES	N13	196900
HRES	N14	48850
HRES	M01	447917
HRES	M02	663824
HRES	M03	247901
HRES	M04	457998
HRES	M05	295567
HRES	N08	172076
HRES	W06	2782248
HRES	W03	165980
HRES	W02	126414
HRES	W05	17227
HRES	Q16	594934
HRES	Q12	0
HRES	N16	15750
HRUL	A01	143750
HRUL	A02	61148
HRUL	A04	23500
HRUL	A05	24000
HRUL	A06	76250
HRUL	A07	75958
HRUL	A10	14400
HRUL	C01	123575
HRUL	C02	68000
HRUL	C03	63753
HRUL	C04	71330
HRUL	C05	140450
HRUL	B01	46450
HRUL	B02	88575
HRUL	B09	156920
HRUL	B08	121050
HRUL	B12	221383
HRUL	B13	69700
HRUL	D03	30500
HRUL	D01	175600
HRUL	D02	124025
HRUL	E01	403060
HRUL	E04	40475
HRUL	E08	239650
HRUL	E10	2500
HRUL	F13	268775
HRUL	F03	458165
HRUL	F04	5400
HRUL	F05	74800
HRUL	F06	264650
HRUL	F07	593275
HRUL	F09	674004
HRUL	F10	632520
HRUL	F11	197452
HRUL	N00	46400
HRUL	A09	90958
HRUL	N01	168625
HRUL	N02	150079
HRUL	N03	296493
HRUL	N04	58775
